Log,Date-time
Open connection with database,2023-05-26 17:37:28
Close connection with database,2023-05-26 17:37:28
Added new Polycarbonate Mask,2023-05-26 17:37:28
Open connection with database,2023-05-26 17:37:28
Close connection with database,2023-05-26 17:37:28
Open connection with database,2023-05-26 17:37:40
Printed all Polycarbonate Masks,2023-05-26 17:37:40
Close connection with database,2023-05-26 17:37:40
Open connection with database,2023-05-26 17:37:40
Printed all Surgical Masks,2023-05-26 17:37:40
Close connection with database,2023-05-26 17:37:40
Open connection with database,2023-05-26 17:37:58
Close connection with database,2023-05-26 17:37:58
Showed Polycarbonate Mask with given ID,2023-05-26 17:37:58
Open connection with database,2023-05-26 17:38:07
Printed all Polycarbonate Masks,2023-05-26 17:38:07
Close connection with database,2023-05-26 17:38:07
Open connection with database,2023-05-26 17:38:14
Close connection with database,2023-05-26 17:38:14
No Polycarbonate Mask found for delete with the given ID,2023-05-26 17:38:14
Open connection with database,2023-05-26 17:38:32
Printed all Clients,2023-05-26 17:38:32
Close connection with database,2023-05-26 17:38:32
Open connection with database,2023-05-26 17:38:48
Printed all Polycarbonate Masks,2023-05-26 17:38:48
Close connection with database,2023-05-26 17:38:48
Open connection with database,2023-05-26 17:38:48
Printed all Surgical Masks,2023-05-26 17:38:48
Close connection with database,2023-05-26 17:38:48
Open connection with database,2023-05-26 17:39:08
Close connection with database,2023-05-26 17:39:08
Printed all Bacteria Sanitizers,2023-05-26 17:39:08
Open connection with database,2023-05-26 17:39:08
Close connection with database,2023-05-26 17:39:08
Printed all Fungal Sanitizers,2023-05-26 17:39:08
Open connection with database,2023-05-26 17:39:08
Close connection with database,2023-05-26 17:39:08
Printed all Virus Sanitizers,2023-05-26 17:39:08
Open connection with database,2023-05-26 17:39:40
Close connection with database,2023-05-26 17:39:40
Added new Acquisition,2023-05-26 17:39:40
Open connection with database,2023-05-26 17:39:44
Close connection with database,2023-05-26 17:39:44
Printed all Bacteria Sanitizers,2023-05-26 17:39:44
Open connection with database,2023-05-26 17:40:06
Called total income in a given year and month,2023-05-26 17:40:06
Called vta in a given year,2023-05-26 17:40:19
Close connection with database,2023-05-26 17:40:38
Open connection with database,2023-05-26 17:40:38
Close connection with database,2023-05-26 17:40:38
Open connection with database,2023-05-26 17:40:38
Close connection with database,2023-05-26 17:40:38
Got all sanitizers from the DB,2023-05-26 17:40:38
