|-----------------------------------------------|---------------------|
| Log                                           | Date-time           |
|-----------------------------------------------|---------------------|
| Open connection with database                 | 2023-05-26 04:00:38 |
|-----------------------------------------------|---------------------|
| Printed all Polycarbonate Masks               | 2023-05-26 04:00:38 |
|-----------------------------------------------|---------------------|
| Close connection with database                | 2023-05-26 04:00:38 |
|-----------------------------------------------|---------------------|
| Open connection with database                 | 2023-05-26 04:00:38 |
|-----------------------------------------------|---------------------|
| Printed all Surgical Masks                    | 2023-05-26 04:00:38 |
|-----------------------------------------------|---------------------|
| Close connection with database                | 2023-05-26 04:00:38 |
|-----------------------------------------------|---------------------|
| Open connection with database                 | 2023-05-26 04:01:21 |
|-----------------------------------------------|---------------------|
| Close connection with database                | 2023-05-26 04:01:21 |
|-----------------------------------------------|---------------------|
| Added new Surgical Mask                       | 2023-05-26 04:01:21 |
|-----------------------------------------------|---------------------|
| Open connection with database                 | 2023-05-26 04:01:21 |
|-----------------------------------------------|---------------------|
| Close connection with database                | 2023-05-26 04:01:21 |
|-----------------------------------------------|---------------------|
| Open connection with database                 | 2023-05-26 04:01:35 |
|-----------------------------------------------|---------------------|
| Close connection with database                | 2023-05-26 04:01:35 |
|-----------------------------------------------|---------------------|
| Added new Surgical Mask                       | 2023-05-26 04:01:35 |
|-----------------------------------------------|---------------------|
| Open connection with database                 | 2023-05-26 04:04:15 |
|-----------------------------------------------|---------------------|
| Close connection with database                | 2023-05-26 04:04:15 |
|-----------------------------------------------|---------------------|
| Added new Polycarbonate Mask                  | 2023-05-26 04:04:15 |
|-----------------------------------------------|---------------------|
| Open connection with database                 | 2023-05-26 04:04:32 |
|-----------------------------------------------|---------------------|
| Printed all Polycarbonate Masks               | 2023-05-26 04:04:32 |
|-----------------------------------------------|---------------------|
| Close connection with database                | 2023-05-26 04:04:32 |
|-----------------------------------------------|---------------------|
| Open connection with database                 | 2023-05-26 04:04:32 |
|-----------------------------------------------|---------------------|
| Printed all Surgical Masks                    | 2023-05-26 04:04:32 |
|-----------------------------------------------|---------------------|
| Close connection with database                | 2023-05-26 04:04:32 |
|-----------------------------------------------|---------------------|
| Open connection with database                 | 2023-05-26 04:05:16 |
|-----------------------------------------------|---------------------|
| Close connection with database                | 2023-05-26 04:05:16 |
|-----------------------------------------------|---------------------|
| Showed Polycarbonate Mask with given ID       | 2023-05-26 04:05:16 |
|-----------------------------------------------|---------------------|
| Open connection with database                 | 2023-05-26 04:05:29 |
|-----------------------------------------------|---------------------|
| Printed all Surgical Masks                    | 2023-05-26 04:05:29 |
|-----------------------------------------------|---------------------|
| Close connection with database                | 2023-05-26 04:05:29 |
|-----------------------------------------------|---------------------|
| Open connection with database                 | 2023-05-26 04:05:38 |
|-----------------------------------------------|---------------------|
| Close connection with database                | 2023-05-26 04:05:38 |
|-----------------------------------------------|---------------------|
| Surgical Mask deleted successfully            | 2023-05-26 04:05:38 |
|-----------------------------------------------|---------------------|
| Open connection with database                 | 2023-05-26 04:05:43 |
|-----------------------------------------------|---------------------|
| Printed all Polycarbonate Masks               | 2023-05-26 04:05:43 |
|-----------------------------------------------|---------------------|
| Close connection with database                | 2023-05-26 04:05:43 |
|-----------------------------------------------|---------------------|
| Open connection with database                 | 2023-05-26 04:05:43 |
|-----------------------------------------------|---------------------|
| Printed all Surgical Masks                    | 2023-05-26 04:05:43 |
|-----------------------------------------------|---------------------|
| Close connection with database                | 2023-05-26 04:05:43 |
|-----------------------------------------------|---------------------|
| Open connection with database                 | 2023-05-26 04:06:46 |
|-----------------------------------------------|---------------------|
| Close connection with database                | 2023-05-26 04:06:46 |
|-----------------------------------------------|---------------------|
| Added new Bacteria Sanitizer                  | 2023-05-26 04:06:46 |
|-----------------------------------------------|---------------------|
| Open connection with database                 | 2023-05-26 04:07:26 |
|-----------------------------------------------|---------------------|
| Close connection with database                | 2023-05-26 04:07:26 |
|-----------------------------------------------|---------------------|
| Added new Bacteria Sanitizer                  | 2023-05-26 04:07:26 |
|-----------------------------------------------|---------------------|
| Open connection with database                 | 2023-05-26 04:08:28 |
